Date,DHT11#1 Humidity,DHT11#1 Temperature,DHT11#2 Humidity,DHT11#2 Temperature,DHT22#3 Humidity,DHT22#3 Temperature
2016-08-23T23:09:57.121-0600,20,21,17,21,46.1,23.9
2016-08-23T23:10:02.922-0600,20,21,17,21,46.3,23.9
2016-08-23T23:10:08.728-0600,20,21,17,21,46.3,23.9
2016-08-23T23:10:14.534-0600,20,21,17,21,46.2,23.9
2016-08-23T23:10:20.335-0600,20,21,17,21,46.2,24
2016-08-23T23:10:26.136-0600,20,21,17,21,46,24
2016-08-23T23:10:31.937-0600,20,21,17,21,46,24
2016-08-23T23:10:37.738-0600,20,21,17,21,45.9,24
2016-08-23T23:10:43.539-0600,20,21,17,21,45.9,24
2016-08-23T23:10:49.340-0600,20,21,17,21,45.8,24
2016-08-23T23:10:55.141-0600,20,21,17,21,45.8,24
2016-08-23T23:11:00.961-0600,20,21,17,21,45.8,24
2016-08-23T23:11:06.766-0600,20,21,17,21,45.2,24
2016-08-23T23:11:12.572-0600,20,21,17,21,45.8,24
2016-08-23T23:11:18.373-0600,20,21,17,21,45.6,24
2016-08-23T23:11:24.174-0600,20,21,17,21,45.7,24
2016-08-23T23:11:29.975-0600,20,21,17,21,45.6,24
2016-08-23T23:11:35.776-0600,20,21,17,21,45.6,24
2016-08-23T23:11:41.577-0600,20,21,17,21,45.6,24
2016-08-23T23:11:47.378-0600,20,21,17,21,45.6,24
2016-08-23T23:11:53.179-0600,20,21,17,21,45.6,24
2016-08-23T23:11:58.989-0600,20,21,17,21,45.8,24.1
2016-08-23T23:12:04.795-0600,20,21,17,21,45.7,24.1
2016-08-23T23:12:10.596-0600,20,21,17,21,45.8,24.1
2016-08-23T23:12:16.397-0600,20,21,17,21,45.9,24.1
2016-08-23T23:12:22.199-0600,20,21,17,21,45.9,24.1
2016-08-23T23:12:28.000-0600,20,21,17,21,45.8,24.1
2016-08-23T23:12:33.801-0600,20,21,17,21,45.7,24.1
2016-08-23T23:12:39.601-0600,20,21,17,21,45.7,24.1
2016-08-23T23:12:45.403-0600,20,21,17,21,45.7,24.1
2016-08-23T23:12:51.227-0600,20,21,17,21,45.5,24.1
2016-08-23T23:12:57.032-0600,20,21,17,21,45.5,24.1
2016-08-23T23:13:02.838-0600,20,21,17,21,45.6,24.1
2016-08-23T23:13:08.639-0600,20,21,17,21,45.7,24.1
2016-08-23T23:13:14.440-0600,20,21,17,21,46,24.1
2016-08-23T23:13:20.241-0600,20,21,17,21,46,24.1
2016-08-23T23:13:26.042-0600,20,21,17,21,45.8,24.1
2016-08-23T23:13:31.843-0600,20,21,17,21,45.7,24.1
2016-08-23T23:13:37.644-0600,20,21,17,21,45.6,24.1
2016-08-23T23:13:43.445-0600,20,21,17,21,45.4,24.1
2016-08-23T23:13:49.256-0600,20,21,17,21,45.4,24.2
2016-08-23T23:13:55.062-0600,20,21,17,21,45.3,24.1
2016-08-23T23:14:00.863-0600,20,21,17,21,45.3,24.1
2016-08-23T23:14:06.663-0600,20,21,17,21,45.7,24.2
2016-08-23T23:14:12.464-0600,20,21,17,21,45.6,24.2
2016-08-23T23:14:18.265-0600,20,21,17,21,45.6,24.2
2016-08-23T23:14:24.067-0600,20,21,17,21,45.5,24.2
2016-08-23T23:14:29.868-0600,20,21,17,21,45.5,24.2
2016-08-23T23:14:35.669-0600,20,21,17,21,45.5,24.2
2016-08-23T23:14:41.488-0600,20,21,17,21,45.5,24.2
2016-08-23T23:14:48.535-0600,ERROR,ERROR,17,21,45.6,24.2
2016-08-23T23:14:54.336-0600,20,21,17,21,45.5,24.2
2016-08-23T23:15:00.137-0600,20,21,17,21,45.6,24.2
2016-08-23T23:15:05.938-0600,20,21,17,21,45.6,24.2
2016-08-23T23:15:13.798-0600,20,21,ERROR,ERROR,45.5,24.2
2016-08-23T23:15:19.599-0600,20,21,17,21,45.7,24.2
2016-08-23T23:15:25.400-0600,20,21,17,21,45.6,24.2
2016-08-23T23:15:31.201-0600,20,21,17,21,45.5,24.2
2016-08-23T23:15:37.016-0600,20,21,17,21,45.3,24.2
2016-08-23T23:15:42.822-0600,20,21,17,21,45.4,24.2
2016-08-23T23:15:48.623-0600,20,21,17,21,45.6,24.3
2016-08-23T23:15:54.424-0600,20,21,17,21,45.6,24.3
2016-08-23T23:16:00.225-0600,20,21,17,21,45.6,24.2
2016-08-23T23:16:06.026-0600,20,21,17,21,45.5,24.3
2016-08-23T23:16:11.827-0600,20,21,17,21,45.5,24.3
2016-08-23T23:16:17.628-0600,20,21,17,21,45.4,24.3
2016-08-23T23:16:23.429-0600,20,21,17,21,45.3,24.3
2016-08-23T23:16:29.230-0600,20,21,17,21,45.2,24.3
2016-08-23T23:16:35.036-0600,20,21,17,21,45.2,24.3
2016-08-23T23:16:40.841-0600,20,21,17,21,45.5,24.3
2016-08-23T23:16:46.642-0600,20,21,17,21,45.4,24.3
2016-08-23T23:16:52.443-0600,20,21,17,21,45.3,24.3
2016-08-23T23:16:58.245-0600,20,21,17,21,45.3,24.3
2016-08-23T23:17:04.046-0600,20,21,17,21,45.3,24.3
2016-08-23T23:17:09.847-0600,20,21,17,21,45.3,24.3
2016-08-23T23:17:15.648-0600,20,21,17,21,45.4,24.3
2016-08-23T23:17:21.449-0600,20,21,17,21,45.4,24.3
2016-08-23T23:17:27.273-0600,20,21,17,21,45.4,24.3
2016-08-23T23:17:33.079-0600,20,21,17,21,45.3,24.3
2016-08-23T23:17:38.884-0600,20,21,17,21,45.2,24.3
2016-08-23T23:17:44.686-0600,20,21,17,21,45.3,24.3
2016-08-23T23:17:50.486-0600,20,21,17,21,45.2,24.3
2016-08-23T23:17:57.529-0600,ERROR,ERROR,17,21,45.1,24.3
2016-08-23T23:18:03.330-0600,20,21,17,21,45.1,24.3
2016-08-23T23:18:09.131-0600,20,21,17,21,45.2,24.3
2016-08-23T23:18:14.932-0600,20,21,17,21,45.3,24.3
2016-08-23T23:18:20.733-0600,20,21,17,21,45.2,24.3
2016-08-23T23:18:26.539-0600,20,21,17,21,45.1,24.3
2016-08-23T23:18:32.344-0600,20,21,17,21,45.1,24.3
2016-08-23T23:18:38.145-0600,20,21,17,21,45,24.3
2016-08-23T23:18:43.946-0600,20,21,17,21,45,24.3
2016-08-23T23:18:49.748-0600,20,21,17,21,45.2,24.3
2016-08-23T23:18:55.549-0600,20,21,17,21,45.2,24.4
2016-08-23T23:19:01.350-0600,20,21,17,21,45.1,24.3
2016-08-23T23:19:07.151-0600,20,21,17,21,45.1,24.4
2016-08-23T23:19:12.952-0600,20,21,17,21,45,24.4
2016-08-23T23:19:18.767-0600,20,21,17,21,45,24.4
2016-08-23T23:19:24.572-0600,20,21,17,21,45,24.3
2016-08-23T23:19:30.378-0600,20,21,17,21,45,24.4
2016-08-23T23:19:36.179-0600,20,21,17,21,45.1,24.4
2016-08-23T23:19:41.980-0600,20,21,17,21,45.1,24.4
2016-08-23T23:19:47.781-0600,20,21,17,21,45.1,24.4
